Precinct,Address,Address.Valid,Clean.Address,Lat,Long
100th Precinct,"92-24 Rockaway Beach Blvd, Queens, NY 11693",True,"9224 Rockaway Beach Blvd, Rockaway Beach, NY 11693, USA",40.586248,-73.816477
102nd Precinct,"87-34 118th St, Richmond Hill, NY 11418",True,"87-34 118th St, Richmond Hill, NY 11418, USA",40.6987209,-73.8315671
104th Precinct,"6402 Catalpa Ave, Ridgewood, NY 11385",True,"64-02 Catalpa Ave, Flushing, NY 11385, USA",40.704237,-73.8935489
106th Precinct,"103-53 10st St, Ozone Park, NY 11417",True,"101-53 103rd St #10st, Jamaica, NY 11416, USA",40.684598,-73.8389399
107th Precinct,"71-01 Parsons Blvd, Fresh Meadows, NY 11365",True,"71-01 Parsons Blvd, Fresh Meadows, NY 11365, USA",40.7299091,-73.8106143
108th Precinct,"547 50th Ave, Long Island City, NY 11101",True,"547 50th Ave, Long Island City, NY 11101, USA",40.7430786,-73.9546953
109th Precinct,"37-05 Union St, Flushing, NY 11354",True,"37-05 Union St, Flushing, NY 11354, USA",40.762361,-73.8270199
10th Precinct,"230 W 20th St, New York, NY 10011",True,"230 W 20th St, New York, NY 10011, USA",40.7427116,-73.998643
110th Precinct,"94-41 43rd Ave, Elmhurst, NY 11373",True,"94-41 43rd Avenue, Queens, NY 11373, USA",40.7452193,-73.8700695
112th Precinct,"68-40 Austin St, Forest Hills, NY 11375",True,"68-40 Austin St, Queens, NY 11375, USA",40.7223401,-73.8515478
113th Precinct,"167-02 Baisley Blvd, Jamaica, NY 11434",True,"167-02 Baisley Blvd, Jamaica, NY 11434, USA",40.6798013,-73.7756864
114th Precinct,"34-16 Astoria Blvd S, Astoria, NY 11103",True,"34-16 Astoria Blvd S, Long Island City, NY 11103, USA",40.769299,-73.9152844
115th Precinct,"92-15 Northern Blvd, Jackson Heights, NY 11372",True,"92-15 Northern Blvd, East Elmhurst, NY 11369, USA",40.7568746,-73.8754903
120th Precinct,"78 Richmond Terrace, Staten Island, NY 10301",True,"78 Richmond Terrace, Staten Island, NY 10301, USA",40.6446553,-74.0774152
122nd Precinct,"2320 Hylan Blvd, Staten Island, NY 10306",True,"2320 Hylan Blvd, Staten Island, NY 10306, USA",40.5741179,-74.1055058
13th Precinct,"230 E 21st St, New York, NY 10010",True,"230 E 21st St, New York, NY 10010, USA",40.7367881,-73.9829079
17th Precinct,"167 E 51st St, New York, NY 10022",True,"167 E 51st St, New York, NY 10022, USA",40.7567621,-73.9707858
19th Precinct,"153 E 67th St, New York, NY 10065",True,"153 E 67th St, New York, NY 10065, USA",40.7671478,-73.9637748
1st Precinct,"16 Ericsson Pl, New York, NY 10013",True,"16 Ericsson Pl, New York, NY 10013, USA",40.7202702,-74.0071976
22nd Precinct,"100 86th St Transverse, New York, NY 10128",True,"100 86th St Transverse, New York, NY 10024, USA",40.7831959,-73.9643933
24th Precinct,"151 W 100th St, New York, NY 10025",True,"151 W 100th St, New York, NY 10025, USA",40.796506,-73.9673459
25th Precinct,"120 E 119th St, New York, NY 10035",True,"120 E 119th St, New York, NY 10035, USA",40.8006969,-73.9411026
26th Precinct,"520 W 126th St, New York, NY 10027",True,"520 W 126th St, New York, NY 10027, USA",40.8147406,-73.9564059
28th Precinct,"2271-89 Frederick Douglass Blvd, New York, NY 10027",True,"2271 Frederick Douglass Blvd, New York, NY 10027, USA",40.8088535,-73.952629
30th Precinct,"451 W 151st St, New York, NY 10031",True,"451 W 151st St, New York, NY 10031, USA",40.8287571,-73.9436513
32nd Precinct,"250 W 135th St, New York, NY 10030",True,"250 W 135th St, New York, NY 10030, USA",40.8157306,-73.9453589
34th Precinct,"4295 Broadway, New York, NY 10033",True,"4295 Broadway, New York, NY 10033, USA",40.8515464,-73.9353851
41st Precinct,"1035 Longwood Ave, The Bronx, NY 10459",True,"1035 Longwood Ave, The Bronx, NY 10459, USA",40.8163245,-73.8956563
42nd Precinct,"830 Washington Ave, The Bronx, NY 10451",True,"830 Washington Ave, The Bronx, NY 10451, USA",40.8225567,-73.9113843
43rd Precinct,"900 Fteley Ave, The Bronx, NY 10473",True,"900 Fteley Ave, The Bronx, NY 10473, USA",40.8230714,-73.8697939
44th Precinct,"2 E 169th St, The Bronx, NY 10452",True,"2 E 169th St, The Bronx, NY 10452, USA",40.8372041,-73.9199079
45th Precinct,"2877 Barkley Ave, The Bronk, NY 10465",True,"2877 Barkley Ave, The Bronx, NY 10465, USA",40.8308706,-73.8273359
46th Precinct,"2120 Ryer Ave, the Bronx, NY 10457",True,"2120 Ryer Ave, The Bronx, NY 10457, USA",40.8539879,-73.9001119
47th Precinct,"4111 Laconia Ave, The Bronx, NY 10466",True,"4111 Laconia Ave, The Bronx, NY 10466, USA",40.8875602,-73.8475441
48th Precinct,"450 Cross Bronx Expy, The Bronx, NY 10457",True,"450 Cross Bronx Expy, The Bronx, NY 10457, USA",40.8439231,-73.9004465
49th Precinct,"2121 Eastchester Rd, The Bronx, NY 10461",True,"2121 Eastchester Rd, The Bronx, NY 10461, USA",40.8560259,-73.8444211
